Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz1,
2,C1,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,1,10uF,
3,C2,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,1,10uF,
4,C3,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,33pF,
5,C5,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,0.1uF,
6,C6,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,1uF,
7,C7,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,0.1uF,
8,C8,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,0.1uF,
9,C9,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,0.1uF,
10,C10,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,0.1uF,
11,C11,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,0.1uF,
12,C12,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,0.1uF,
13,C13,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,0.1uF,
14,C14,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,0.1uF,
15,C15,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,1uF,
16,C16,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,0.1uF,
17,C17,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,0.1uF,
18,C22,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,33pF,
19,J1,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
20,J2,Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical,1,Conn_01x20,
21,J3,Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical,1,Conn_01x20,
22,J4,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
23,R1,Resistor_SMD:R_0402_1005Metric,1,27,
24,R2,Resistor_SMD:R_0402_1005Metric,1,27,
25,R3,Resistor_SMD:R_0402_1005Metric,1,5.1K,
26,R5,Resistor_SMD:R_0402_1005Metric,1,1K,
27,R6,Resistor_SMD:R_0402_1005Metric,1,10k,
28,R7,Resistor_SMD:R_0402_1005Metric,1,1K,
29,R51,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,5.1K,
30,SW1,Button_Switch_SMD:SW_SPST_TS-1088-xR020,1,SW_Push,
31,U1,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
32,U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
33,U3,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
