Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,151.95,-77.1,-90,top
C2,10uF,C_0603_1608Metric,143.05,-78.15,-90,top
C3,33pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.9,-109.5,180,top
C5,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,151.8,-83.2,90,top
C6,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,143,-81,90,top
C7,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144,-101.6,180,top
C8,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,154.509998,-97.131042,0,top
C9,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144,-97.5,90,top
C10,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,153,-93,90,top
C11,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,154.5,-95,0,top
C12,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.130229,-101.809614,0,top
C13,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,150.401283,-91.598717,45,top
C14,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,150.5,-107,-90,top
C15,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.5,-93,90,top
C16,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,151.5,-107,-90,top
C17,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,154.25,-92.5,90,top
C22,33pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149.9,-109,180,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,146.4,-107,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,149.61,-69.05,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,140.5,-68.14,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,146.85,-117.16,90,top
R1,27,R_0402_1005Metric,151.176642,-94,-90,top
R2,27,R_0402_1005Metric,149.996642,-94,-90,top
R3,5.1K,R_0402_1005Metric,143.5,-69.49,90,top
R5,1K,R_0402_1005Metric,149.4,-106.5,90,top
R6,10k,R_0402_1005Metric,145,-93.5,180,top
R7,1K,R_0402_1005Metric,145.25,-95.5,90,top
R51,5.1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,143.5,-71.6,-90,top
SW1,SW_Push,SW_SPST_TS-1088-xR020,149,-113.5,180,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,149.39,-100.7,0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,147.5,-80,-90,top
U3,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,149,-87.5,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,158.28,-68.14,0,top
,,,,,,
